review,rating
bagusss,5
"Please, Gojek, adain FITUR 'Jangan ajak ngobrol'. Soalnya kadang capek ngeladenin driver yg sering curhat. Malah pernah juga dicurhatin masalah selingkuhannya. Masalahnya aku tuh ga enakan kalo mau cuek tuh. Please, lah, yg ini butuh banget. Apalagi kalo pas lagi capek di jalan. Males ngobrol bawaannya.",5
"kenapa kok jalan yang pendek gabisa rusak apa gimana apk ini tolong diperbaiki ya, sampah banget padahal cuma deket suruh pastikan jarak jangan tolol deh klo buat apk ya sebagai pengguna ya menyesuaikan jarak dia mau kemana kenapa kok malah gabisa suruh pastikan jarak dan gabisa dilanjutkan pilihan saya TERUNTUK DEVELOPER TOLONG DIBENAHI APK NYA JANGAN ASAL MAIN PASTIKAN LOKASI LAGI DAN GABISA MILIH YANG UDAH KITA CANTUMKAN PADAHAL DARI PENGGUNA SUDAH MEMASUKKAN JARAK YANG MAU DI TEMPUH.",1
yeeyy kenyangggg,5
driver nya baik,5
aplikasi aneh bin ajaib. kasih rating 1 saja,1
Mantab dan lancar,5
"mantap, semoga Istiqomah",5
Ok,5
Makin kesini makin susah dapat driver,1
bagus banget..cepet sampai nya,5
👌,4
bagus,5
kenapa siih driver mobil itu selalu cancel kalau order hujan2. emang ga niat banget kerja.,1
"kenapa jadi kaya gini yaa gojek? lemot, belum lagi lama dapat drivernya, udah milih harga biasa jga tetep lama dapat drivernya. ada masalah apa ya?",3
saya kecewa dengan gojek uang saya di bawa pergi katanya mau di tukarkan tapi sampai saat ini ridaki kembali,5
"kesalahan pada orderan dan respon lama, minta foto makanan yg diorder, tapi respon lama. yaa sudah dikasih ke orang makanan yg ga sesuai orderan. keburu basi, uninstal dahh ga rekom",1
anjay,5
admin nya sampah,1
setiap nyari gosend sering dicancel...,1
bagus,5
mantap,5
"kalo pesen gofood udh nunggu lama, trs dibatalin, gadpt kompensasi apaapa",2
pesenan aku sering di batalin huh😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡,1
on time,5
"tidak transparan dalam ratting costumer, sedangkan driver dengan mudah mengetahui ratting nya. sangat tidak adil.",1
"tolong dong diperbaiki jangan iklan doang yg di bagusin, 2 hari paket instan saya baru di pu, orderan paket ga ada yg ambil",2
nhebantu bgt kalo saya lagi ribet,5
bgus,5
bagus mengentas pengangguran,5
huhhh,3
bantu bgt kalo laper TPI males keluar atau masak,5
terlalu lama vlcari drivernya padahal didepan Mall cityplazza banyak driver sudah nunggu 30 menit mau kirim paket.masih gak dapet driver,2
aplikasi gak jelas,1
keamanan kurang yang gampang dicuri,1
mantap,5
"saya sudah menghentikan iklan di amplifikasi, dan mengajukan penghentian iklan di bantuan. tapi tagihan masih berjalan kok di anggap tidak ada apa apa. masalah nya saya sangat keberatan dengan biaya iklan karena tidak ada pesanan sama sekali selama ikut iklan. dalam satu tahun saja hanya beberapa pesanan yang masuk",1
bagus,4
Susah banget sekarang kalo pesen gofood ga dapet driver hampir 2 jam..,2
mantap pakai gojek,5
sangat membantu,5
"“Driver sangat ramah, sopan, dan profesional. Berkendara dengan aman serta memperhatikan kenyamanan penumpang selama perjalanan. Komunikasi juga sangat baik dan tepat waktu saat penjemputan. Terima kasih atas pelayanannya yang sangat memuaskan. Semoga selalu diberikan kelancaran dan semakin sukses ke depannya.”",5
bagus,5
mantab,5
susah dapat driver di medan,2
muaanntap,5
ramah tepat waktu,5
👍,5
terimakasih,5
makin susah dapet driver. sekalinya dapet dikasih yang jauh. udah gitu malah dikasih opsi pencarian cepat yang musti ngasih buiaya tambahan.,1
mantap,5
sangat membantu,5
bagus & sangat membantu,5
oke,5
membantu,5
mantap,5
siip,5
aplikasi apaan dah ini lemot bener Uda beberapa Minggu,3
mantap,5
sangat membantu dalam urusan bertransportasi,4
saya menyesal dan kecewa pesan gocar bawa bayi tapi AC nya panas seperti ga pake AC..,1
bahan bakar adalah kunci utama.ongkos goceng hari gini beli kopi seduh doank.,5
saya suka aplikasi gojek Krn mudah mencari titik penjemputan dan tujuan. drivernya slalu mau mengantar sampai ketempat tujuan walau titik tujuannya Gak sesuai GPS.,5
👍,5
suka,5
bagus,5
mohon bertanya ini untuk amplikasi naik antar jemput kah,5
aman dan cepat,5
"sangat sangat sukaaa, aplikasinya sangat memudahkan segala urusan mulai dari antar jemput, pesan makanan,beli kebutuhan dapur dll. Pokoknya manteplah👍🏻👍🏻",5
"susah dapat driver, dpt pun g direspon sama driver nunggu lama banget eh trnyta g ada niatan jemput.. parah emang. aplikasi sebelah drivernya responsif kalo emang g bs jemput ya hub.pelanggan..",1
bagus lahh aplikasinya krna bnyk voucher,5
"keluhan ttg susah dpt goride ditampung IMAM GHOZALI opertor malah kita dibilang gak paham aplikasi gak paham pdhal kami setiap hari bergulat dg komputer & kami py D1 komputer, kalau memang aplikasinya bermasalah knp tidak mengakui saja!!!!!gak heran knapa pd pindah ke Grab, Maxim & aplikasi ojol lainnya.",3
ok,5
ok,5
"Very good, selalu bisa diandalkan",5
cepat tepat smart,5
ok,5
parah lu punya driver gua nungguin 30 menit kaga ada datang KLO lu punya driver kaga niat mending bloking nyesel gua donlod app gojek,1
jujur kurang enak pake aplikasi gojek karna dapet pengalaman ga enak banget dari driver nya udah bokiing yang prioritas ttp lama di jemputnya minimal sesuai lh ya,1
sangat membantu,5
oke,5
mantapp,5
Ok,5
"lu bikin map pengantaran gofood gimana sih? map lu kaga gerak bro, gw kaga bisa ngeliat pergerakan si Drivernya secara real time, gw kasih bintang 2",2
lanjut,5
"kasian kali Para driver Gocar gojek, info nya Mereka dapat Dikit Untung ongkos dari uang penumpang bayar di aplikasi gojek. contoh aja, SAYA BAYAR PAKAI GOPAY pesan gocar dikenahkan 54.000 , dan si driver hanya dapat 30.000 kasian kali kan banyak kali potongan ongkos dilakukan PIHAK APLIKASI GOJEK merugikan driver. tolong lah bantu UP dan evaluasi potongan nya agar Nyama para driver, kasian melihat mereka bensin mobil + AC mobil lagi diberikan driver kepada kami penumpang agar nyaman.",1
cukup membantu ketika mager hee,5
"kecewa parah bgt sm ini apk, udah 2x di cancel gtu aja pas mesen makanan. mana lama nungguin nya, org mana yg tahan nahan rasa lapar berjam"" . di perbaiki lg y untuk servis ny. mau gnti apk dan gaakan pernah pke gjek lg thks 🙂",1
mantap,5
istimewa,5
"makin kesini makin gk bener nih aplikasi, byk yg komplain susahnya cari driver, argo gk ngotak, perbaikan layanannya mu woooy",1
👍,5
GO MART SUDAH MEMBUAT TITIK KE ASTON TAPI SAAT PESAN GESER KE SUN CITY INI GAK BISA DI CANCEL SUDAH BERJAM JAM. BAGAIMANA IN TANGGUNG JAWABNYA,1
trimakasih gojek,5
"Gojek/Gocar makin lama dptnya. Sekalinya dpt jaraknya jauh. Saya liat postingan di ig, algoritma gojek diubah. Driver disuruh bayar 20k per hari bwt bisa dpt order, satu driver terima gofood lebih dr 1, dll. Zalim. Makin kapitalis minim humanis. Smoga manajemennya diganti dgn manusia yg punya hati nurani. Aamiin.",3
good best,5
"Layanan semakin menurun kualitasnya. Semakin lama cari driver, pembatalan gofood sangat dipersulit sementara pesanan makin lama dapat driver, sangat membuang waktu.",3
nyari driver motor dikala hujan susah,1
"tindak driver arogan, plat B 5685 TXD",1
sangat gak sesuai ekspektasi,1
percuma ada aplikasi susah cari driver,1
smakin parah klo pesen makanan/goride... sering dapat driver jaraknya jauh-jauh. padahal normal gk pakai voucher. bayar mahal pelayanan gk optimal.,3
sangat baik,5
bagus,5
okbgd om,5
"Aplikasi tidak ada masalah. Hanya saja, jika ingin order susah banget dapat pengemudinya. Sepertinya para drivernya yang menghilang ditelan bumi atau para drivernya rasis/fasis (memilih pelangan sesuai selera pengemudinya..walah3.",3
"sudah beberapa Minggu belakangan ini banyak kekecawan yang customer alami (hasil berbincang - bincang dengan semua teman yg menggunakan aplikasi gojek): order gojek motor, mobil, gofood & gosend sangat lama sekali dapat driver, padahal titik driver banyak tetapi tidak ada yg mau pick up sudah pesan prioritas tetap lama bahkan pesan gosend sudah ditunggu sampai 3 jam tidak juga dapat akhirnya pindah aplikasi. pernah pesan gofood ditolak terus & sekali nya dapat bisa sampai 2 jam. kecewa berat",1
bagus layananya cepat,5
belum pernah kecewa,5
tidak adil untuk mitranya,1
baik,5
"mengecewakan! re connect mulukkkk,gak bisa munculin lokasi juga,kacauuuuuuu",1
"aplikasi tolol drivernya kgk ada yang mau jemput, kocak padahal nggak pernah kendala tuh gw ma driver.",1
mantap,5
tarif ekonomis pelayanan cepat responsive,5
keren,5
nice try,5
good job,5
Sikap Driver dan cara mengemudinya baik,5
map nya sangat tidak akurat,1
nyaman dan tepat jga aman.cepat.,5
"driver pilih-pilih, selalu bertambah mahal, driver mudah nge cancel tanpa bilang",2
rumit skarang gak kaya dulu .masa tiap pesen goride dapat jauh terus .dari pada dapat jauh terus jdi pindah ke sebelah,1
memudahkan utk pergi kemana saja👍👍,5
susah bgt nyari driver nya. udah nunggu lama bgt ternyata gaada 1pun yang nyantol. ngebatalinnya jangan nunggu sejam donggg! ntar ditinggal nyari yg lain malah dapet driver!!,2
"KASIH EDUKASI DRIVER NYA, KALO MAU CANCEL ATAU GA MAU AMBIL ORDERAN KARNA ARGO KECIL BILANG KE CUSTOMER NYA KONFIRMASI BAIK BAIK, KAMI KASIH TIPS KO YANG LAYAK. JANGAN DIEM GA GERAK GA ADA KONFIRMASI TUNGGU DI CANCEL SAMA CUSTOMER. ADA YANG URGENT, BAWA BAYI, BAWA ORANG TUA. EDUKASI LAGI DRIVER NYA. KASIH WAKTU KALO DIA GA GERAK GA ADA KONFIRMASI SYSTEM KALIAN YANG KASIH AUTOTEXT.",1
"tolong biaya Ongkosnya Lebih murah dr Tetangga Sebelah, Biar banyak Peminatnya.",5
"perubahan harga yang sangat signifikan,beberapa hari yang lalu goride ke tempat yg sama 35k,dua hari kemudian 55k,kayaknya seminggu kemudian naik lagi jadi 100k🤣🤣🤣",5
lokasi leles kab garut kalo gak ada driver atau penjual gak bisa nerima oderan jangan di iming iming paket exprees percuma exprees kalo makanan tetep aja lebih dari 1 jam . padahal distu tertulis 20 menit deket itu,1
"payah, sering error",1
derever nya asik,5
skarang pesen gojek pas ujan gerimis..susah banget dapet drivernya.pdahal mmng butuhnya karna ujan...harus nya di out aja driver yg menolak orderan ketika hujan...,3
Murah dan terpercaya,5
"Pesanan Go-Food, tidak ada driver, lama sekali pencarian driver, tapi tidak bisa dibatalkan. Kalau memang tidak ada driver sebaiknya bisa di batalkan dan mencari alternatif lain.",1
sangat membantu,5
"GOCARNYA pada banyak duit gak ada yg mau nerima😃 jauh dikit pada minta cancel..sekalinya diterima banyak alesan. klo gak mau macet ya jangan narik mobil..narik aja sepeda goes kita mh kasian pesen biar dapet order,tapi pada males² nerimanya😄",2
oke banget,5
kembalikan uang saya woii,1
susah bet nyari driver taila,1
harga nya sihh lumayan terjangkau,2
mantaapp,5
bagus banget tiap hari ada diskon jadi ongkos nya tetap sesuai dompet,5
mantap sekali,5
mantab,5
bagus banget buat yang mager,5
memudahkan alat transportasi,4
sangat membantu,5
mantap,5
sangat membantu disegala kondisi,5
good,5
pelayanan ok,5
aman nyaman,4
saldo dari dana CUSTOMER g amsuk ke gopay ku..parah ini siii,2
"belakangan nyari driver susah, lemot, kebanyakan nolak",1
driver nya jangan ngaret,4
"Makin sering update makin lama dapet driver, mending gk usah update aja sekalian kalau malah jadi lebih buruk",2
aneh makin kesini drivernya pada gajelas bgt,1
oke bagus dari pelayanan,5
"gojek emang selalu bisa di andalin, banyak promo nya terus di kasih gratis ongkir, top markotop pokoknya",5
alhamdulillah driver yang saya pesan selalu baik,5
top yessss,5
siip,5
"tolong dong gojek masa iya aku mau ngampus jadi susah banget dapet driver sekarang? 😭 mau beli makan juga jadi ga affordable buat aku sebagai mahasiswa, maaf bgt tapi pake gojek suka jadi lebih mahal daripada aplikasi lain buat order makan😔💔 update: demiii apaaa gua udah langganan gojek plus dari tahun kemarin tapi malah nambah mahal?? pas ngecek di akun sodara aku yang ga langganan malah lebih murah? sakit hati banget ah unsubs deh jadinya😭😭💔",2
top,5
"#GOFOOD anehh harusnya tu dapetin dlu driver nya baru bisa mesen makanan,ini udah mah ditungguin lama lama lagii laper ginii malah disuruh batalin aja karena ga dapet drives nya,bisa si diganti pickup masalahnya sini tu mau praktis mpruyyy,malaaa disuru batalin aja. dii perbarui napa sistem nya,kaloo belom dpt driver gabisa mesen gitu dongo.yeuu org lapar gini dibuat emosi gw obrak abrik juga ni apk",2
"makin jelek layanannya, susah dapat orderan",1
drivernya sopan,5
"makin sulit dpat gocar, seringkali driver tdk respon, tau2 titik menjauh, kota yg cancel, tarif lgsg 2 x lipat",2
mencari driver lama,1
Alhamdulillah 🤲 nyaman...dan terus berkembang,5
"sering dapet driver tidak jalan ditunggu sekitar 30menit, dedangkan kita sudah ditunggu bis....sangat kecewaa",1
aturan gak jelas driver banyak yg off..order jadi terbengkalai...customer pindah ke aplikasi lain,1
cepat dan tepat sasaran,5
susah dicari,1
banyak orang dan ramah,5
mantap bgt,5
service ya sat set mantapzzz,5
excellent,5
manfaat,5
"aplikasi nyebelin, gojeknya ga maju2 terus padahal udah majuuuu, gabisa dicancel dari gojeknya juga lagiiiii. udah nunggu berjam jam!!!!!!",3
Sangat kecewa khususnya untuk driver mobil grab.. banyak yang nolak pesanan..carinya susah giliran dapat minta dicancel dengan alasan lokasi jemput jauh.,1
driver y sopan,5
saya pengguna gojek setia tapi akhir2 ini cari driver susah bgt banyak driver yg cancel akhirnya saya pindah ke aplikasi sebelah cari driver gampang,4
aplikasi tidak menghargai driver,1
kalo ngasih harga di gofood yang ngotak dikit lah njir,1
mantap,5
mantap,5
alhamdulillah mau kirim² makanan utk anak dipondok sangat terbantu,5
Okey,5
the best,5
susah dapet driver,1
"KENAPA GADA YG MAU NGAMBIL TERUS SIH, UDAH GA PAKE YG PROMO PUN TETEP LAMA YG NGAKUTTTT!!!!!! 😡😡😡😡😡😡😡😡😡😡😡",1
𝙗𝙖𝙜𝙪𝙨 𝙗𝙖𝙣𝙜𝙚𝙩,5
"Sekarang susah dapet driver untuk gosend juga gapernah mau ambil, suka dilama2in biar customer yg cancel kadang kalo dapet juga suka maksa minta uang parkir (padahal kita tau kalo parkiran mall sini buat driver tuh ga dipungut biaya) tapi klo ga dikasih malah kasar perlakuannya udah beralih ke aplikasi sebelah sekarang mah pake gojek klo buat transportasi aja.",1
mantap apk nya,5
Bermanfaat,5
driver ramah semua,5
oke mantab,5
knp gk bisa pke dana,2
sangat membantu sekali,5
pesen kopi kenangan minuman uda siap tapi uda nunggu 1 jam masi stuck di 16 menit karena ga ada driver. ga lama dibatalin.,1
ok,5
ok,5
mantap lebih membantu,5
Sulit Sekali dapat driver untuk layanan Go Shop,4
"drivernya ga komplen karna jarak aku slalu jauh, mantapp",5
kalo pesen makanan ongkir nya mahal😭🙏,3
Mantap drivernya gercep👍,5
Aplikasi yang sangat akses untuk tunanetra,5
👍👍👍👍,5
"bintang 1 aja,pesan go food aja lama mau 1jam.",1
"Aplikasinya bagus,cocok buat yang bepergian ke tempat yg belum pernah",5
"kak maaf bngt nih tolong voucher diskon gofood ny lebih bnyak lagi, apk sebelah aj voucher diskon makanan ny aja bnyak bngt",2
Saya baru memakai aplikasi gojek lagi dan menggunakan fitur go ride. ko aplikasinya sekarang jadi ribet ya. untuk pesan go ride saja saya harus booking dulu dan menunggu lebih dari 15 menit ga dapet² drivernya. akhirnya pake aplikasi sebelah ga sampai 1 menit sudah dapat driver. fitur go ride sekarang maaf ga recomended,1
puas,5
"Aplikasi Bagus, sudah lama jadi andalan. tapi lagi Kecewa aja akhir2 ini. Driver Go-Ridenya Manja2 banget, , Keadaan gerimis aja gk mau ambil orderan.,deket lagi paling ±5km ,klo hujan sih sya maklum, lah ini gerimis kecil. , padahal banyak driver on disekitar, tp gda yg mau ambil. hampir 7x order gda yg mau ambil, bkin kesel. Beda sma apk Sebelah MXM baru order lngsung diambil. .. itu aja terimakasih.",2
"proses pembatalan terlalu lama,misal makanan/driver ga ada dalam 10 menit udah ga respon harus nya udah bisa di batalin.",1
Mantap,5
baik,5
untuk saat ini oke.,5
terimakasih,5
"harusnya kita bisa chat ke resto sih kalo buka atau tutup, masa iya udh nunggu 1 jam driver kesana malah tokonya tutup. adain fitur apa aja deh biar ga nunggu lama klo tokonya tutup",3
good job,5
Cepat responnya dan mantul,5
KLO cancel g bisa ..... nyesek bgt suruh bayar dobel,1
chatnya suka centang 1. tolong perbaiki lagi. biar komunikasi dgn driver lancar.,4
ok,5
b aja,4
oke bgt,5
"puas, komunikasi baik,tepat waktu",5
semuanya oke,5
ok,5
"nyusahin mau ketik no telp harus manual, g bisa copy paste",1
ok,5
ok,5
"ongkir ekonomi sudah kagak ada,mana regular mahal lagi🥲",3
sangat membantu,5
"promo nya kurang khususnya untuk kota Palembang,tolong ditingktkan lagi",3
bagus banget,5
mantul,5
bagus,5
baik sekali,5
segini dlu deh klo bagus tambah lagi,2
Drivernya tolong jangan memainkan orderan. ditunggu sangat lama tidak jalan sama sekali. Apkikasinya sering mengalami bug double order. bikin saya repot.,1
terima kasih,5
halaman gocats lagi error ya? misinya ga jelas,5
good,5
pelayanan bagus sy beri tip500,5
"sering banget telat dateng kalo mesen gofood, kadang juga ga dapet driver buat ambil makanan nya jadi terpaksa cancel, udah nunggu lama nahan laper malah ga jadi, ga ada kompensasi juga lagi buang waktu buat nungguin",2
gak pernah kecewa,5
ok,5
Min saya Kena penipuan 300 ribu ke Gopay Penipu yang mengatasnamakan kepala desa dan pas dilacak bukan kepala desa,3
"dari sejak awal ada gojek, tetep nyaman. terpercaya...",5
good workog,5
Bagus,5
mantap,5
"Argonya makin mahal tapi pelayanan malah makin turun. Harga sering gak masuk akal dibanding jarak, beda jauh sama dulu. Yang lebih ngeselin, driver sekarang banyak yang pilih-pilih order. Udah nunggu lama, di-cancel terus, atau didiemin tanpa kejelasan. Buang waktu banget.",1
aplikasihnya sangat membantu,5
"Kok bisa promo di akun temen ku bisa sampe 50% tapi di aku 40%, ???? padahal sama-sama gojek plus",1
akun orang main asal bekuin aja padahal sering dipakai untung ga ada gopaynya mending pake grab aja sekarang dah,1
aplikasinya sangat mudah digunakan. banyak diskonnya. love it.,5
Pastikan semua drivers Amanah klu ada barang tertinggal,5
mantep,5
sangat baik abang ya,5
"sangat buruk pelayanan nya, karena susah cari driver",1
nice driver,5
kesan pertama paki go food puas sekali pelayanannya👍👍👍,5
susah nyari driver,1
maps nya selalu pas sesuai titik,5
puas pelayanan baik,5
"Jahat banget deh. Udahlah mahal, dicariin driver yang jauh. 👎",1
bagus,5
"Aplikasi tolol, bikin customer nunggu lama",1
"driver sulit, pelit, jutek, platform juga tidak ramah pada harga driver",1
makin ke sini makin ga jelas,5
ok,5
"makin kesini gojek susah banget dapet driver nya, sekalinya dpt malah jauh. mencari-cari driver padahal dititik terdekat banyak, TPI gak ada driver yg mau ambil. jadi males",2
kse download ngni p aplikasi di t cewe ka ta bongkar ngni p kantor,5
"aplikasi lelet,lemot,gofood Berjam jam ga dapet driver. driver juga lambat, kebanyakan ngeluh",1
"makin kesini makin susah dapet driverrr ngeselin banget, udah gitu guaa beli pake saldo gopay klo dibatalin saldo gua ilang ,udah beberapa kali saldo ga balik grgr ga dapet driverr, kocakkkk",1
"saya mau minta dari pihak mitra ,agar pelayanan mencari driver di perbaiki lagi .kasih peringatan keras kalau perlu di pecat ajh untuk driver yg tidak mau mengantarkan makanan ke cosumen.saya sudah menunggu lama .terima kasih .",1
nice,5
sangat membantu disaat keadaan darurat..,5
gojek parah kalau udah malah ngak ada driver yang mau ngabil orderan sekitar jm 10 an. padahal driver banyak.,4
ok,5
lelet parah,1
lama dapet driver,1
kalau pelanggan kasih rating ke driver bintang 1 itu kalian tangani tidak sih? kok masih banyak driver yang tidak punya sopan santun dan seenaknya? kalian tindak lanjuti tidak saya ingin tau,1
cepat sampai,5
"maaf saya kasih bintang 1. sempat baca di ulasan lain ada yg susah nyari driver bbrp minggu ini. benar bgt, skrg hal yg lebih mudah dan efisien jadi menyulitkan dlu sring pke apk ini krna byk diskon dan harga terjangkau skrg apk nya jd lelet. mesen gofood 2 jam lebih ga dpt2 driver antar nya mesen gojek nunggu 10 menit lebih pun gaada sama sekali pdhl trlihat jls driver byk di 1 titik itu. tolong di tindak lanjuti untuk apk gojek.",1
yaaa oke laahhh,5
semangat driver!,4
"Flash Sale gajelas, udh mesen dari jam 20.00 udah dapet driver, makanan juga statusnya ""sedang di sajikan"" bahkan sampai ada estimasi waktu pengantaran 21.30. Tau tau di cancel jam 22.00. 2 jam nunggu angin doang kocak",1
no good,1
"kenapa saya kasih bintang 2? karna saya lebih sering kecewanya dengan apk ini. saya tuh selalu mau gofood ya, tapi knp selalu susah banget cari driver? paling susah kalo di kondisi hujan sama malam, padahal rumah saya tuh bukan pelosok masih terbilang pun banyak ojol disekitar sini.. tp kenapa susah bangeett! nyebelinnya tuh udah nunggu nya lama bgt ujung2nya gagal pesenannya karena gak nemu driver. bayangin udah laper posisi gabisa keluar butuh order makan bangeet udah ngu nih 50mnt, eh gagal.",2
sangat membantu,5
bagus,5
"sakit hati banget. mesen gojek dari jam 9 malam sampai jam 10 ada 3 kali di cancel. dari yang ride hemat ke go ride biasa juga sama. kalau emang menurut driver harganya kemurahan kan bukan kita yang menentukan toh kita juga ga bakal kasih segitu, pasti kasih tip juga. 1 jam nunggu sia sia!",1
"tolong dibantu cari driver, masak saya ber kali2 pesen gofood sulit mendapatkan driver..",1
semakin baik,5
yeay,5
"udah seminggu susah bgt dpet driver , heran pdhl apk sbleh cpet bgt dpet ny..",1
"sekarang driver diaplikasi ini susah bnget buat dapet, risih jadi nya",1
"Pesen makanan lama bener ga dapat driver, batal otomatis. 👎",1
oke,5
"saya gomart, gosend buat beli obat, tpi gada mulu driver nya, lama bngt, pdhal ga ujan ga apa",1
aplikasi semakin menyulitkan dengan sulit mendapatkan driver dari stasiun cikarang dan semakin tidak ada bedanya dengan ojek pengkolan dengan harga yg tidak masuk akal,3
Ok Banget,5
keren sangat membantu,5
"agak kecewa sih akhir ""ini gojek klo mau pesen makan dimalam hari susah banget nemu driver nya,, sampe harus nunggu 1/2 jam tetap masih gk dapat driver nya.",1
ok,5
"Kualitas Pelayanan sangat buruk Kalau harga mahal baru dapat driver,itupun lama",1
parah.....kalau rekrut driver yang benar dan yang kompeten jangan yang sukanya main cancel.....,1
sesusah itu dapet driver,2
susah banget dapet driver,2
"lambat banget kalo mesan malam, udah lapar malah ga ada yg antar padahal banyak tuh ojol yang masih diluar nganterin pesanan lain",1
mahal dikota bogor gojek.dan gocarnyq,1
woyy kasih tambahan buat developer untuk kasih pembayaran via dana atau qris aja menurut ku kurang lengkap kalok cuman itu2 aja wkwkwk thanks semoga di notice,5
oke,5
sangat membantu untuk kebutuhan transportasi,5
wah!!,5
"banyak error, aplikasi yg dibutuhin banyak org loh. bangkrut aja dah",1
susah dapet driver udah ga butuh penumpang lagi kali ya jual mahal semua sekalinya dapet ga gerak tu driver,2
"mentang"" argo kecil dicancelin mulu sama drivernya kocak",1
kenapa harus nunggu lama banget buat cancel order dah gitu driver juga susah banget nyarinya,1
"aplikasi gaguna, tiap dapet driver di cancel terus, lama ga gerak2, berjam jam nungguin gadapet2 padahal banyak yang deket, bener2 *1 lah, driver2 juga udah diambil bukannya dikerjain malah cancel",1
"gofood parah awalnya di bilang tepat waktu, trus telat, dan ujungnya malah di cancel dari pihak gofoodnya karena tidak dapet driver, sudah menunggu 98menit lebih malah di batalin karena tidak dpt driver dan kalo mau mesen, malah harus pesen ulang. bagaimana ini?",1
parah gosend udh nunggu 10 menit eh pas dapat malah dibatalin sm driver. parah aplikasinya ga ngebantu,1
memudahkan perjalanan,5
buat apa pakai gojek udah bayar mahal tapi aplikasi dam sistem bukan mempermudah pelanggan mahal di permainkan aplikasi dan sistem yg makin hancur dan bobrok.,1
Ini kalau sistemnya gak susah dapat driver pas hujan/sibuk bintang 5,3
membantu sekali,5
"kalo ujan pasti driver gaada yg mau ambil, padahal pake mobil, udahlah harganya naik jauh nunggu ga dapet dapet pula, saya udah nunggu 1 jam👎",1
oke,5
susah banget dapat driver kondisikan dong mitranya sampe 5x lebih ganti driver nih,1
Tagihan masih ada padahal sudah dilunasin. diminta bayar denda lagi,1
"sangat buruk driver lama ketemu ampe sejm gak ketemu, dan mahal bagusan maxim",1
"dapet driver yang jauh, payah",1
"maaf aku kurangi bintangnya, apk bagus sebenernya tapi driver gojek akhir"" ini pada nyebelin semua gtw kenapa, apa karna sistem pembayaran ke mereka atau gmn idk. waktu pesan goride abangnya salah titik jemput dan pas aku tegur malah balik ke pangkalan gk balik"" lagi trus didiemin doang tlp gk diangkat smp akhirnya setelah 20 mnt aku cancel dan gabisa rating abangnya juga. trus gosend instan 3 jam juga gatau kenapa banyak yg gamau keep dari jam 3 sore sampe jam 7 malem padahal lagi butuh bgt :((",4
"alhamdulillh terbantu dengan adanya gojek ,, terimakasih",5
sip baik sekali semoga berkembang sampai masa depan,5
"belakangan ini susah banget dapet driver, sekalinya dapet selalu di batalin. tolong di improve",1
"serius ini aplikasi makin hari makin gila? ngasih drivernya selalu yang paling jauh, sampai berkali-kali kena cancel padahal udah nunggu. sekedar cerita juga, tadinya diaplikasi tarifnya 19.000, mungkin karena cuaca buruk (meskipun gk hujan), tapi di driver cuma masuk 12.000, jadi lu ngambil keuntungan sekitar 7000 gitu buat biaya admin? lu manfaatin cuaca buruk yang dihadapi driver di lapangan buat naikin keuntungan berkali-kali lipat? iblis aja keknya gak sejahat itu loh. gila emang",5
hari ini saya byk kecewa Krn susah utk mendapatkan gojek mobil maupun motor,4
sejauh ini masih bagus pelayananya,5
love..,5
"mau nutup akun karna gojek jadi mahal bgt aja susah bgt,saldo harus nol mau gw ikhlasin aja repot bgt..ada fitur chat cs tp ga ada papan ketiknya cm bisa kirim pesan instan yg udah mereka siapin,lah gimana bisa nolong kl begitu..uninstal aja jawaban terbaik",1
"sumpahhhh kesal bgt, kurir GO-SEND ada masalh apa si susah bgt dapet 🙃",1
Mantab,5
"LEMOT BANGET UDAH TAU BURU BURU MAU MASUK KERETA MALAH LOADINGNYA MINTA AMPUN, PADAHAL JARINGAN BAGUS BAGUS AJA",2
apaan susah banget cari driver ud dapt malah di cancel driver,1
cari kendaraan lama amat,1
mantap,5
respon cepat,5
sumpah akhr2 ini susah bgt dpt goride maupun gocar masak nyari driver smpk 2jam gak dpt2 pdhl sekitar banyak tp kok.gak ada satupun yg nyantol..... tolonglah di perbaiki,2
"Gak suka pesanan udah masuk tapi belum dapet driver jadi makanan belum disiapin, dan baru bisa cancel pesanan setelah satu jam gak ada driver. kecewa, mending bisa langsung di cancel kalo gak ada driver, biar saya mesen yg lain. Sama aja ini gak menghargai waktu saya sebagai customer dan pihak resto. Buang-buang waktu!!",1
susah dpt drivver akhir akhir ini meskipun pakai yang pencarian cepat,1
lama gak sesuai waktu,1
good,5
lama nunggu nya skrg,1
puas,5
"jangan ambil ongkir yg lebih mahal di gojek dgn embel2 pelayanan lebih cepat, bayar lebih tetap saja proses 2 kali lebih lama...makanan yg harusnya ready untuk buka puasa dan sy order 1 jam sebelum buka puasa dimana estimasi sampai dalam 20 menit, tapi setengah jam setelah buka puasa selesai baru sampai...driver yg jadi kambing hitam... awas hati2 gojek kuras kantong anda dgn cara penambahan biaya2",1
ok,5
"Tolong dong diperbaiki bagian pembayaran emas kok jadi ribet, dan gagal mulu pasti tolong cepat diperbaiki",2
"susah banget dpt driver nya, dari kemarin coba gofood ga dpt PT driver... gajelas bgt sih asli",1
cepat jng lambat,5
